Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,TX,CLKCD,0,0,0,0,0,0,0,0,0,0
2020P,TX,CLOCD,5.05,3.82,3.95,3.87,3.81,3.99,3.99,3.69,4.3,4.32
2020P,TX,CLRCD,0,0,0,0,0,0,0,0,0,0
2020P,TX,CLTCD,1.87,1.9,1.91,2,2.03,2,1.83,1.76,1.78,2.01
2020P,TX,CLTXD,5.02,3.81,3.95,3.87,3.81,3.99,3.99,3.69,4.3,4.32
2020P,TX,DFACD,20.89,26.87,27.6,27.33,26.37,18.36,15.53,17.72,21.11,20.1
2020P,TX,DFCCD,17.81,24.16,24.87,24.15,21.99,13.15,11.21,13.52,16.89,15.74
2020P,TX,DFEID,16.9,22,23,22.44,19.31,13.12,10.66,12.39,15.89,14.41
2020P,TX,DFICD,18.11,24.24,24.98,24.46,23.12,13.93,12.28,14.94,18.37,16.94
2020P,TX,DFRCD,17.66,25.41,25.32,26.34,25.39,15.93,13.51,15.67,17.28,16.64
2020P,TX,DFTCD,20.39,26.28,26.97,26.7,25.62,17.58,14.9,17.19,20.59,19.54
2020P,TX,DFTXD,20.4,26.29,26.97,26.7,25.62,17.59,14.9,17.19,20.6,19.54
2020P,TX,DKEID,16.9,22,23,22.44,19.31,13.12,10.66,12.39,15.89,14.41
2020P,TX,ELEXD,9.98,7.64,6.12,9.78,12.91,8.11,5.88,5.45,8.73,9.78
2020P,TX,ELIMD,13.31,11.53,9.51,11.49,13.31,0,0,9.18,10.74,9.2
2020P,TX,ESACD,28.78,29.55,30.88,29.86,15.14,15.64,23.21,23.91,23.67,18.88
2020P,TX,ESCCD,26.94,25.87,23.91,23.5,23.92,23.9,24.2,24.2,23.92,23.61
2020P,TX,ESICD,18.86,18.27,16.33,17.02,18.06,16.39,15.61,15.69,15.8,15.96
2020P,TX,ESRCD,33.99,32.48,32.18,33.28,34.77,33.88,32.22,32.28,32.82,34.47
2020P,TX,ESTCD,27.69,26.64,25.33,25.67,26.49,25.82,25.01,24.88,25.16,25.51
2020P,TX,ESTXD,27.69,26.64,25.33,25.67,26.49,25.82,25.01,24.88,25.16,25.51
2020P,TX,FNICD,17.97,23.88,23.66,23.55,21.57,11.34,9.53,11.88,15.09,13.92
2020P,TX,FOICD,0,0,0,0,0,0,0,0,0,0
